No,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket,구매지역,lastname,family#
484,1,1,"Lines, Miss. Mary Conover",female,16,0,1,PC 17592,39.4,D28,S,17592,,Lines,1
381,0,3,"Rush, Mr. Alfred George John",male,16,0,0,A/4. 20589,8.05,,S,20589,,Rush,0
535,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,35851,,Gilnagh,0
440,1,1,"Maioni, Miss. Roberta",female,16,0,0,110152,86.5,B79,S,110152,,Maioni,0
576,1,1,"Hippach, Miss. Jean Gertrude",female,16,0,1,111361,57.9792,B18,C,111361,,Hippach,1
43,0,2,"Gaskell, Mr. Alfred",male,16,0,0,239865,26,,S,239865,,Gaskell,0
224,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S,345764,,Vander Planke,2
346,0,3,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,9.5,,S,345778,,de Pelsmaeker,0
162,0,3,"Eklund, Mr. Hans Linus",male,16,0,0,347074,7.775,,S,347074,,Eklund,0
500,1,3,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,7.75,,Q,367231,,Carr,0
525,1,3,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S,392089,,Sunderland,0
379,0,3,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S,3101295,,Panula,5
517,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,2659,14.4542,,C,2659,,Yasbeck,1
477,1,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,2667,7.225,,C,2667,,Najib,0
462,1,1,"Madill, Miss. Georgette Alexandra",female,15,0,1,24160,211.3375,B5,S,24160,,Madill,1
582,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,330923,,McGowan,0
36,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,2665,,Zabour,1
707,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,2651,,Nicola-Yarred,1
56,0,3,"Panula, Mr. Jaako Arnold",male,14,4,1,3101295,39.6875,,S,3101295,,Panula,5
509,1,3,"Ayoub, Miss. Banoura",female,13,0,0,2687,7.2292,,C,2687,,Ayoub,0
504,1,2,"Mellinger, Miss. Madeleine Violet",female,13,0,1,250644,19.5,,S,250644,,Mellinger,1
536,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,2651,,Nicola-Yarred,1
38,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,2144,,Goodwin,7
219,0,3,"Hassan, Mr. Houssein G N",male,11,0,0,2699,18.7875,,C,2699,,Hassan,0
532,1,1,"Carter, Master. William Thornton II",male,11,1,2,113760,120,B96 B98,S,113760,,Carter,3
54,0,3,"Van Impe, Miss. Catharina",female,10,0,2,345773,24.15,,S,345773,,Van Impe,2
361,0,3,"Skoog, Master. Karl Thorsten",male,10,3,2,347088,27.9,,S,347088,,Skoog,5
375,0,3,"Goodwin, Master. Harold Victor",male,9,5,2,CA 2144,46.9,,S,2144,,Goodwin,7
58,0,3,"Boulos, Miss. Nourelain",female,9,1,1,2678,15.2458,,C,2678,,Boulos,2
546,1,3,"Coutts, Master. Eden Leslie ""Neville""",male,9,1,1,C.A. 37671,15.9,,S,37671,,Coutts,2
258,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S,347077,,Asplund,6
84,0,3,"Andersson, Miss. Ingeborg Constanzia",female,9,4,2,347082,31.275,,S,347082,,Andersson,6
430,0,3,"Skoog, Miss. Mabel",female,9,3,2,347088,27.9,,S,347088,,Skoog,5
659,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,363291,,Goldsmith,2
521,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,C.A. 31921,26.25,,S,31921,,Collyer,2
342,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,349909,,Palsson,4
654,1,2,"Hart, Miss. Eva Miriam",female,7,0,2,F.C.C. 13529,26.25,,S,13529,,Hart,2
220,0,3,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q,382652,,Rice,5
411,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,3101295,,Panula,5
645,1,2,"Harper, Miss. Annie Jessie ""Nina""",female,6,0,1,248727,33,,S,248727,,Harper,1
669,1,3,"Moor, Master. Meier",male,6,0,1,392096,12.475,E121,S,392096,,Moor,1
614,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S,34651,,West,3
488,1,3,"Emanuel, Miss. Virginia Ethel",female,5,0,0,364516,12.475,,S,364516,,Emanuel,0
684,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,315153,,Kink-Heilmann,2
310,0,3,"Andersson, Master. Sigvard Harald Elias",male,4,4,2,347082,31.275,,S,347082,,Andersson,6
184,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,347088,,Skoog,5
584,1,3,"Johnson, Master. Harold Theodor",male,4,1,1,347742,11.1333,,S,347742,,Johnson,2
397,0,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,382652,,Rice,5
609,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C,2123,,Laroche,3
676,1,2,"Richards, Master. William Rowe",male,3,1,1,29106,18.75,,S,29106,,Richards,2
666,1,3,"Coutts, Master. William Loch ""William""",male,3,1,1,C.A. 37671,15.9,,S,37671,,Coutts,2
705,1,2,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,230080,,Navratil,2
34,0,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S,349909,,Palsson,4
626,1,2,"Quick, Miss. Phyllis May",female,2,1,1,26360,26,,S,26360,,Quick,2
383,0,1,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,C22 C26,S,113781,,Allison,3
686,1,2,"Navratil, Master. Edmond Roger",male,2,1,1,230080,26,F2,S,230080,,Navratil,2
187,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,347082,,Andersson,6
257,0,3,"Skoog, Miss. Margit Elizabeth",female,2,3,2,347088,27.9,,S,347088,,Skoog,5
50,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,349909,,Palsson,4
276,0,3,"Panula, Master. Urho Abraham",male,2,4,1,3101295,39.6875,,S,3101295,,Panula,5
621,1,3,"Hirvonen, Miss. Hildur E",female,2,0,1,3101298,12.2875,,S,3101298,,Hirvonen,1
537,1,2,"Mallet, Master. Andre",male,1,0,2,S.C./PARIS 2079,37.0042,,C,2079,,Mallet,2
675,1,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,,C,2653,,Nakid,2
682,1,3,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S,347742,,Johnson,2
67,0,3,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,3101295,,Panula,5
552,1,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S,113781,,Allison,3
512,1,2,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,S,29106,,Richards,2
703,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S,248738,,Caldwell,2
511,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,,C,2666,,Baclini,3
474,1,2,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,S,250649,,Hamalainen,2
597,1,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C,2625,,Thomas,1
48,0,3,"Goodwin, Master. Sidney Leonard",male,0,5,2,CA 2144,46.9,,S,2144,,Goodwin,7
392,0,3,"Willey, Mr. Edward",male,,0,0,S.O./P.P. 751,7.55,,S,751,,Willey,0
506,1,3,"Foo, Mr. Choong",male,,0,0,1601,56.4958,,S,1601,,Foo,0
663,1,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S,1601,,Lam,0
52,0,3,"Lam, Mr. Len",male,,0,0,1601,56.4958,,S,1601,,Lam,0
305,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,2131,,Pernot,0
469,1,2,"Padro y Manent, Mr. Julian",male,,0,0,SC/PARIS 2146,13.8625,,C,2146,,Padro y Manent,0
120,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
226,0,3,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
406,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
116,0,3,"Sage, Miss. Dorothy Edith ""Dolly""",female,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
119,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
68,0,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S,2343,,Sage,10
376,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S,2466,,Williams,0
319,0,3,"Lahoud, Mr. Sarkis",male,,0,0,2624,7.225,,C,2624,,Lahoud,0
568,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C,2626,,Moussa,0
30,0,3,"Yousseff, Mr. Gerious",male,,0,0,2627,14.4583,,C,2627,,Yousseff,0
438,0,3,"Razi, Mr. Raihed",male,,0,0,2629,7.2292,,C,2629,,Razi,0
190,0,3,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C,2641,,Toufik,0
359,0,3,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,,C,2647,,Yousif,0
573,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,2649,,Masselmani,0
557,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,2661,,Moubarek,2
606,1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C,2661,,Moubarek,2
180,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,2662,,Samaan,2
368,0,3,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C,2665,,Zabour,1
565,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,2668,,Peter,2
628,1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,,0,2,2668,22.3583,,C,2668,,Peter,2
39,0,3,"Saad, Mr. Amin",male,,0,0,2671,7.2292,,C,2671,,Saad,0
337,0,3,"Elias, Mr. Dibo",male,,0,0,2674,7.225,,C,2674,,Elias,0
480,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,2677,,Mamee,0
260,0,3,"Doharr, Mr. Tannous",male,,0,0,2686,7.2292,,C,2686,,Doharr,0
148,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,,1,0,2689,14.4583,,C,2689,,Caram,1
204,0,3,"Kassem, Mr. Fared",male,,0,0,2700,7.2292,,C,2700,,Kassem,0
405,0,3,"Maisner, Mr. Simon",male,,0,0,A/S 2816,8.05,,S,2816,,Maisner,0
177,0,3,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S,2817,,Peduzzi,0
240,0,3,"Murdlin, Mr. Joseph",male,,0,0,A./5. 3235,8.05,,S,3235,,Murdlin,0
103,0,3,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C,3411,,Paulner,0
367,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,4133,,Lefebre,4
16,0,3,"Lefebre, Miss. Mathilde",female,,3,한명,4133,25.4667,,S,4133,,Lefebre,3
167,0,3,"Shellard, Mr. Frederick William",male,,0,0,C.A. 6212,15.1,,S,6212,,Shellard,0
354,0,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S,6607,,Johnston,3
186,0,3,"Johnston, Miss. Catherine Helen ""Carrie""",female,,1,2,W./C. 6607,23.45,,S,6607,,Johnston,3
344,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S,6609,,Harknett,0
639,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234,7.75,,Q,9234,,Kelly,0
601,1,1,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C,11774,,Marechal,0
281,0,3,"Keane, Mr. Andrew ""Andy""",male,,0,0,12460,7.75,,Q,12460,,Keane,0
704,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,14311,,O'Driscoll,0
585,1,3,"Kelly, Miss. Mary",female,,0,0,14312,7.75,,Q,14312,,Kelly,0
468,1,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,,Q,14313,,Jermyn,0
634,1,1,"Hawksford, Mr. Walter James",male,,0,0,16988,30,D45,S,16988,,Hawksford,0
623,1,1,"Fleming, Miss. Margaret",female,,0,0,17421,110.8833,,C,17421,,Fleming,0
454,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1,0,17453,89.1042,C92,C,17453,,Goldenberg,1
678,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,17464,51.8625,D21,S,17464,,Kenyon,1
85,0,1,"Farthing, Mr. John",male,,0,0,PC 17483,221.7792,C95,S,17483,,Farthing,0
526,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C,17585,,Thorne,0
298,0,1,"Hoyt, Mr. William Fisher",male,,0,0,PC 17600,30.6958,,C,17600,,Hoyt,0
696,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,C,17604,,Meyer,1
389,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,17605,,Stewart,0
578,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,PC 17611,133.65,,S,17611,,Frauenthal,1
239,0,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C,17757,,Robbins,0
445,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,19947,,Woolner,0
510,1,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S,19988,,Saalfeld,0
701,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,1,0,19996,52,C126,S,19996,,Taylor,1
96,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,23567,,Rogers,0
303,0,3,"Wiseman, Mr. Phillippe",male,,0,0,A/4. 34244,7.25,,S,34244,,Wiseman,0
591,1,3,"Mullens, Miss. Katherine ""Katie""",female,,0,0,35852,7.7333,,Q,35852,,Mullens,0
64,0,3,"McEvoy, Mr. Michael",male,,0,0,36568,15.5,,Q,36568,,McEvoy,0
432,0,3,"Kilgannon, Mr. Thomas J",male,,0,0,36865,7.7375,,Q,36865,,Kilgannon,0
618,1,3,"Mannion, Miss. Margareth",female,,0,0,36866,7.7375,,Q,36866,,Mannion,0
172,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,54510,,Moore,0
106,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,65303,19.9667,,S,65303,,Hagland,1
253,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,65304,19.9667,,S,65304,,Hagland,1
670,1,3,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,65306,8.1125,,S,65306,,Johannesen-Bratthammer,0
6,0,1,"Clifford, Mr. George Quincy",male,,0,N,110465,52,A14,S,110465,,Clifford,0
503,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S,111427,,Bradley,0
15,0,1,"Fry, Mr. Richard",male,,0,0,112058,0,B102,S,112058,,Fry,0
374,0,1,"Brewe, Dr. Arthur Jackson",male,,0,0,112379,39.6,,C,112379,,Brewe,0
78,0,1,"Klaber, Mr. Herman",male,,0,0,113028,26.55,C124,S,113028,,Klaber,0
407,0,1,"Smith, Mr. Richard William",male,,0,0,113056,26,A19,S,113056,,Smith,0
479,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S,113505,,Chibnall,1
42,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S,113510,,Williams-Lambert,0
109,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,113767,,Rood,0
322,0,1,"Harrington, Mr. Charles H",male,,0,0,113796,42.4,,S,113796,,Harrington,0
353,0,1,"Cairns, Mr. Alexander",male,,0,0,113798,31,,S,113798,,Cairns,0
141,0,2,"Campbell, Mr. William",male,,0,0,239853,0,,S,239853,,Campbell,0
329,0,2,"Cunningham, Mr. Alfred Fleming",male,,0,0,239853,0,,S,239853,,Cunningham,0
208,0,2,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0,,S,239853,,Parkes,0
373,0,2,"Frost, Mr. Anthony Wood ""Archie""",male,,0,0,239854,0,,S,239854,,Frost,0
338,0,2,"Watson, Mr. Ennis Hastings",male,,0,0,239856,0,,S,239856,,Watson,0
476,1,2,"Leitch, Miss. Jessie Wills",female,,0,0,248727,33,,S,248727,,Leitch,0
649,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,312991,,Moss,0
437,0,3,"Rommetvedt, Mr. Knud Paust",male,,0,0,312993,7.775,,S,312993,,Rommetvedt,0
33,0,3,"Keefe, Mr. Arthur",male,,0,0,323592,7.25,,S,323592,,Keefe,0
400,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,330877,,Moran,0
559,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q,330931,,McGovern,0
658,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,330932,,McDermott,0
231,0,3,"Peters, Miss. Katie",female,,0,0,330935,8.1375,,Q,330935,,Peters,0
343,0,3,"O'Brien, Mr. Timothy",male,,0,0,330979,7.8292,,Q,330979,,O'Brien,0
706,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,330980,7.8792,,Q,330980,,Mockler,0
214,0,3,"O'Connell, Mr. Patrick D",male,,0,0,334912,7.7333,,Q,334912,,O'Connell,0
671,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,335677,,Glynn,0
55,0,3,"van Melkebeke, Mr. Philemon",male,,0,0,345777,9.5,,S,345777,,van Melkebeke,0
164,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,349208,,Staneff,0
304,0,3,"Slabenoff, Mr. Petco",male,,0,0,349214,7.8958,,S,349214,,Slabenoff,0
63,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,349215,,Petroff,0
143,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,349216,,Todoroff,0
19,0,3,"Laleff, Mr. Kristo",male,,0,0,349217,7.8958,,S,349217,,Laleff,0
11,0,3,"Nankoff, Mr. Minko",male,,0,0,349218,7.8958,,S,349218,,Nankoff,0
171,0,3,"Radeff, Mr. Alexander",male,,0,0,349223,7.8958,,S,349223,,Radeff,0
296,0,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S,349227,,Plotcharsky,0
98,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,349234,,Nenkoff,0
223,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,349253,,Kraeff,0
73,0,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C,349254,,Gheorgheff,0
152,0,3,"Garfirth, Mr. John",male,,0,0,358585,14.5,,S,358585,,Garfirth,0
370,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,362316,,Reed,0
218,0,3,"Risien, Mr. Samuel Beard",male,,0,0,364498,14.5,,S,364498,,Risien,0
82,0,3,"Bourke, Miss. Mary",female,,0,2,364848,7.75,,Q,364848,,Bourke,2
289,0,3,"Flynn, Mr. James",male,,0,0,364851,7.75,,Q,364851,,Flynn,0
611,1,3,"McCoy, Mr. Bernard",male,,2,0,367226,23.25,,Q,367226,,McCoy,2
519,1,3,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,,Q,367226,,McCoy,2
550,1,3,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q,367228,,McCormack,0
547,1,3,"Murphy, Miss. Margaret Jane",female,,1,0,367230,15.5,,Q,367230,,Murphy,1
179,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,368703,,Mernagh,0
409,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q,370365,,O'Brien,1
507,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,370365,,O'Brien,1
650,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,370370,,Madigan,0
110,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,370371,,Lennon,1
308,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,370372,,McMahon,0
307,0,3,"Horgan, Mr. John",male,,0,0,370377,7.75,,Q,370377,,Horgan,0
287,0,3,"O'Connor, Mr. Maurice",male,,0,0,371060,7.75,,Q,371060,,O'Connor,0
328,0,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q,371110,,Ryan,0
350,0,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q,371110,,Moran,1
646,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,371110,,Moran,1
57,0,3,"Morrow, Mr. Thomas Rowan",male,,0,0,372622,7.75,,Q,372622,,Morrow,0
205,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,374746,,Moutal,0
77,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,374910,,Shorney,0
183,0,3,"Thorneycroft, Mr. Percival",male,,1,0,376564,16.1,,S,376564,,Thorneycroft,1
482,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S,376564,,Thorneycroft,1
386,0,3,"Henry, Miss. Delia",female,,0,0,382649,7.75,,Q,382649,,Henry,0
161,0,3,"Tobin, Mr. Roger",male,,0,0,383121,7.75,F38,Q,383121,,Tobin,0
114,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q,384461,,Smith,0
685,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S,386525,,Davison,1
18,0,3,"Simmons, Mr. John",male,,0,0,SOTON/OQ 392082,8.05,,S,392082,,Simmons,0
69,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,392086,,Slocovski,0
59,0,3,"Meanwell, Miss. (Marion Ogden)",female,,0,0,SOTON/O.Q. 392087,8.05,,S,392087,,Meanwell,0
203,0,3,"Sirota, Mr. Maurice",male,,0,0,392092,8.05,,S,392092,,Sirota,0
91,0,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q,394140,,Hart,0
201,0,3,"Jardin, Mr. Jose Neto",male,,0,0,SOTON/O.Q. 3101305,7.05,,S,3101305,,Jardin,0
356,0,3,"Webber, Mr. James",male,,0,0,SOTON/OQ 3101316,8.05,,S,3101316,,Webber,0
